gold_label,sentence1,sentence2
entailment,2 rows of woman walking towards each other on the sidewalk outside of a store with a boy 50% sign on the golden framed windows.,The women are in two rows.
neutral,Two people wearing winter clothes stand near a pole in a winter scene.,people talk about sticking tongue on pole
entailment,A man with glasses in a brown shirt talking while a man with glasses in a gray shirt listens.,Two people are wearing glasses.
contradiction,Three boys wearing life jackets are on top of innertube in the water.,Three boys are drowning.
contradiction,A child turning a crank with benches behind him.,The person is sleeping.
neutral,A man is flexing his biceps while standing on a rooftop with multiple chimneys in the background.,He is hoping to impress his friends.
contradiction,"Two men, one in a gray tattered suit and the other in a brown shirt, are looking down.",Two men are looking up at the sky.
contradiction,One football player wearing an orange jersey and one wearing a white jersey are set at the starting line.,Two football players sitting inside a empty locker room.
neutral,A man wearing a blue hat and a blue shirt selling bananas from his wheel cart on the street.,A fruit vendor selling his wares on a sunny day.
contradiction,"A young women carrying some wooden cases, walking down the street and passing a street performer.",Nobody is carrying cases
entailment,A group of people dressed in formal wear pose for a picture.,People posing for a portrait.
neutral,A male musician is playing guitar for a show on stage.,Man putting on a show for his ex girlfriend
contradiction,Several runners compete in a road race.,Several runners compete in a bike race.
contradiction,A young boy in a green shirt and blue pants is playing with a blue toy train on a wooden track.,A young boy is driving a pedal car on the sidewalk.
neutral,Several children playing outside,A lot of children are playing hopscotch in the driveway.
entailment,A shirtless man is cooking on an outdoor grill.,Someone is grilling.
contradiction,Several dancers are doing leg lifts on stage.,The dancers are swimming in a lake.
entailment,A group of people are standing on a platform and waiting for the subway train.,People waiting for a train
entailment,Two men in a black in red vehicle on the beach.,The vehicle is on the beach.
entailment,Two backpackers look at scenic mountains.,Two guys are carrying things on their back.
neutral,A man skateboarding at a skateboarding park which is covered in graffiti.,A man is skateboarding at a place that has gang presence.
contradiction,Gymnast does a flip on blue flooring.,An obese person sits on the couch
contradiction,A participant in a dog sled race passes onlookers.,It's a motorcycle race
neutral,Two people are sitting next to a wood-stacked campfire at night.,The people are camping in the woods.
neutral,A photographer with bushy dark hair takes a photo of a skateboarder at an indoor park.,A mother photographs her son at the indoor skate park.
entailment,Two teenagers in green and brown coats pose for a picture while out shopping.,Two teenagers pose for a picture.
entailment,A young woman is singing into a microphone.,The woman is singing.
neutral,"A white-haired man reclines in a seat pad on a boat's deck, reading a book.","a man reclines in a seat pad on a boat, while reading a book and enjoying his day off."
neutral,"A man walks away from a bright yellow, red and blue bounce house.",A man leaves a brightly colored bounce house with his daughter.
contradiction,A man cutting metal with a tool.,A man is cutting metal with his mind.
contradiction,Someone in a red and white uniform is driving a red and white motorcycle down a track with the front wheel in the air.,A man rides and ATV.
entailment,A dog digs a hole in a yard.,the dog is digging outside
neutral,A slender woman wearing jeans and a colorful purse is standing on a large yellow maneuver.,The woman is wearing a blue shirt
neutral,A man in a Santa Claus costume is sitting on a wooden chair holding a microphone and a stringed instrument.,The man is playing a Christmas concert.
contradiction,A brown dog carries a long stick on the green grass.,A cat claws at a toy.
contradiction,A child does a handstand in a pool.,An adult dives into a pool.
contradiction,A line of people waiting outside The Magpie cafe during the day.,A man makes a sandwich.
neutral,Two children are sleeping while someone is fingering through a book of music.,The music is quiet.
neutral,"A woman, viewed through a window, sits at a restaurant table and puts down a red shopping bag.",A woman having lunch after spending the day shopping.
neutral,A man wearing a green shirt is grinning at the computer screen with his hand on the mouse.,the man is an army sergeant
neutral,"A woman in a dark blue, and white sweater, walks with her son, down a street.",A mom and son walking the streets searching for his dad passed out in a gutter.
